"1","Kiala den 16 Juni 67.","<p>Albert Edelfelts brev till Alexandra Edelfelt från Kiala den 16 juni 1867, 4 sidor.</p><p /><p></p>","barn, blommor, diktare, fiske, fåglar, förlovning, herrgårdar, konstnärer, parker, sommar, väderlek","swe","16.6.1867","16","6","1867","","","","URN:NBN:fi:sls-537-1403107521400"
"2","Kiala, den 13 Augusti 67.","<p>Albert Edelfelts brev till Alexandra Edelfelt från Kiala den 13 augusti 1867, 3 sidor</p><p /><p></p>","barn, biskopar, fiske, fåglar, herrgårdar, jakt, kläder, präster, resor, soldater, sommar, sällskapsliv, väderlek","swe","13.8.1867","13","8","1867","","","","URN:NBN:fi:sls-538-1403107521410"
"3","Dahlsbruk den 19 Juni. 1871.","<p>Albert Edelfelts brev till Alexandra Edelfelt den 19 juni 1871, 8 sidor.</p><p /><p></p>","bondgårdar, evangeliska rörelsen, gudstjänst, gästgiverier, herrgårdar, historia, hotell, kvinnor, kyrkor, masugnar, mat, musik, måltider, präster, religiositet, resor, segelbåtar, sommar, studenter, studieresor, svenskar, sång, tradition, väckelserörelser, ångbåtar, krucifix, bruk (industrier), valsar (tekniska objekt)","swe, fre (ord)","19.6.1871","19","6","1871","","","","URN:NBN:fi:sls-539-1403107521420"
"4","Ombord på Grefve Berg d. 3 Juli 71. på resa till Åland","<p>Albert Edelfelts brev till Alexandra Edelfelt från fartyget Grefve Berg den 3 juli 1871, 16 sidor.</p><p /><p></p>","altartavlor, bröllop, dagstidningar, dans, finska, fotografier, herrgårdar, kläder, konst, kvinnor, kyrkor, midsommar, musik, måltider, språk, studieresor, svenska, sällskapsliv, utflykter, ångbåtar, folket (fenomen)","swe, fre (ord), ger (uttryck)","3.7.1871","3","7","1871","","","","URN:NBN:fi:sls-540-1403107521430"
"5","Norrtelge d. 14 Juli 1871.","<p>Albert Edelfelts brev till Alexandra Edelfelt från Norrtelge den 14 juli 1871, 12 sidor.</p><p /><p></p>","ekonomi, fennomani, finska, fosterländskhet, hotell, ingenjörer, konstsamlingar, kyrkor, museer, musik, pass, resor, sjömän, slott, språk, statyer, studenter, svenska, sång, universitet, skandinavism, studentmössor","swe, den (ord), eng (uttryck), fin (uttryck)","14.7.1871","14","7","1871","","","","URN:NBN:fi:sls-541-1403107521440"
"6","Stockholm den 19 Juli 1872.","<p>Albert Edelfelts brev till Alexandra Edelfelt från Stockholm den 19 juli 1872, 6 sidor. Illustration ""fönster med utsikt mot trång gränd, bläck"" på sid 4.</p><p /><p></p>","apotek, danskar, drottningar, finska, herrgårdar, historia, hotell, illustration, kläder, kroppsdelar, kvinnor, kyrkor, läkare, medicin, museer, resor, sjukdomar, språk, svenska, utställningar, ångbåtar, skjortor, fysionomik","swe, rus (ord), ger (uttryck), fre (ord)","19.7.1872","19","7","1872","","","","URN:NBN:fi:sls-542-1403107521450"
"7","Granbäck, d. 23 Juli 1872.","<p>Albert Edelfelts brev till Alexandra Edelfelt från Granbäck den 23 juli 1872, 8 sidor.</p><p /><p></p>","adel, apotek, apotekare, badanläggningar, beställningar, danskar, engelsmän, finska, fotografier, fransmän, herrgårdar, hotell, kläder, kungar, kvinnor, kyrkor, nationalitet, naturbeskrivning, politik, provisorer, sjöar, släktingar, språk, studenter, svenska, svenskar, trädgårdar, tåg, utställningar, ångbåtar, informatorer","swe, fre (meningar), småländska (ord, meningar)","23.7.1872","23","7","1872","","","","URN:NBN:fi:sls-543-1403107521460"
"8","Granbäck d. 1sta Augusti 1872.","<p>Albert Edelfelts brev till Alexandra Edelfelt från Granbäck den 1 augusti 1872, 4 sidor.</p><p /><p></p>","adel, apotekare, arv, engelska, förmögenhet, gudstjänst, herrgårdar, kläder, kungligheter, kvinnor, kyrkor, målningar, prinsar, prinsessor, sanskrit, sjukdom (tillstånd), språk, sällskapsliv, trädgårdar, tyska, äktenskap, ridning, informatorer","swe, småländska (ord)","1.8.1872","1","8","1872","","","","URN:NBN:fi:sls-544-1403107521470"
"9","Granbäck d. 2 Augusti","<p>Albert Edelfelts brev till Alexandra Edelfelt från Granbäck den 2 augusti 1872, 4 sidor.</p><p /><p></p>","beställningar, herrgårdar, häst, kyrkor, porträtt (konstverk), sjukdom (tillstånd), skulpturer (konstverk), ångbåtar, ridning","swe","2.8.1872","2","8","1872","","","","URN:NBN:fi:sls-545-1403107521480"
"10","Granbäck d. 7 Augusti 72.","<p>Albert Edelfelts brev till Alexandra Edelfelt från Granbäck den 7 augusti 1872, 4 sidor.</p><p /><p></p>","adel, ekonomi, finska, försvarsberedskap, herrgårdar, häst, nationalism, porträtt (konstverk), svenska, sång, sällskapsliv, trädgårdar, utställningar, löjtnanter, porträttmåleri, militärer (personer)","swe, fre (ord)","7.8.1872","7","8","1872","","","","URN:NBN:fi:sls-546-1403107521490"
"11","Thorsdagen d. 8 Augusti 1872.","<p>Albert Edelfelts brev till Alexandra Edelfelt den 8 augusti 1872, 6 sidor. Illustration ""doktor Mobeck"" i blyerts på sid 5.</p><p /><p></p>","adel, berg, beställningar, bostäder, dagstidningar, dialekter, framtid, förlovning, förmögenhet, Gud, herrgårdar, häst, illustration, kläder, kravaller, musik, porträtt (konstverk), regn, resor, segling (bondeseglation), sjukdom (tillstånd), studenter, sällskapsliv, tidskrifter, utställningar, väderlek, löjtnanter, utsiktsplatser, trädgårdsskötsel, militärer (personer)","swe, imiterar småländsk dialekt","8.8.1872","8","8","1872","","","","URN:NBN:fi:sls-547-1403107521500"
"12","Granbäck d. 15 Aug. 1872.","<p>Albert Edelfelts brev till Alexandra Edelfelt från Granbäck den 15 augusti 1872, 6 sidor.</p><p /><p></p>","adel, bostäder, böcker, dikter, ekonomi, fritt bildningsarbete, herrgårdar, konserter, konstsamlingar, kvinnor, lyrik, musikliv, nationalkaraktär, recitation, resor, slott, supé, tillgivenhet, utflykter, utställningar, lycka, nordisk identitet, militärer (personer)","swe, fre (ord), den (uttryck), lat","15.8.1872","15","8","1872","","","","URN:NBN:fi:sls-548-1403107521510"
"13","Granbäck d. 22 Aug. 72 (Thorsdag).","<p>Albert Edelfelts brev till Alexandra Edelfelt från Granbäck den 22 augusti 1872, 6 sidor.</p><p /><p></p>","adel, barn, brev, böcker, fyrverkerier, författare, herrgårdar, hotell, häst, konstnärshem, kvinnor, kyrkliga föremål, kyrkor, religiösa sammankomster, samhällsklasser, skolgång, slott, studenter, sällskapsliv, trädgårdar, våld, ångbåtar, brevväxling, bruk (industrier), talesätt, utfärder, militärer (personer)","swe, den (uttryck), fre (uttryck)","22.8.1872","22","8","1872","","","","URN:NBN:fi:sls-549-1403107521520"
"14","Granbäck d. 27 Aug. 72.","<p>Albert Edelfelts brev till Alexandra Edelfelt från Granbäck den 27 augusti 1872, 4 sidor. Brevet saknar slut.</p><p /><p></p>","ateljéer, beställningar, ekonomi, framtid, herrgårdar, hotell, kläder, konstnärshem, porträtt (konstverk), resor, slott, sällskapsliv, trädgårdar, modeller (yrken), sällskapsspel, militärer (personer)","swe","27.8.1872","27","8","1872","","","","URN:NBN:fi:sls-550-1403107521530"
