"1983","Tante Nathalia Krook är på Kiala.","1","2"
"1985","Pappa Carl Albert Edelfelt reste till Fredrikshamn, resten av familjen kom till Kiala.","1","3"
"1986","Edelfelt har fiskat med långrev tillsammans med morbror Gustaf Brandt, Lulle (Julian) Serlachius och hans bror.","1","4"
"1987","Edelfelt har tillsammans med Lulle (Julian) och Leonard Serlachius städat parken och en holme, byggt en bro, gjort blomsterrabatter och sått blommor.","1","5"
"1988","Lulle (Julian) och Leonard Serlachius har gått till Borgå.","1","6"
"1989","""Bryggers Calle"" och Gustaf Zvick har på ett ""nedrigt sätt"" plundrat ett talgoxbo; morbror Gustaf Brandt har gett dem en utskällning och gett Edelfelt samt Lulle (Julian) och Leonard Serlachius rätt att gräla på dem, vilket i synnerhet Lulle Serlachius tagit fasta på: ""O, förmätna skurk bekänn ditt brott!""","1","7"
"1990","Morbror August Streng berättar allt fler osannolika historier: om vilda kanariefåglar i parken under ""mormor"" Linderths tid, om att bläckslagare Kellgren egentligen var konstnär och poet.","1","8"
"1991","Sommaren är sen i år, men tante Nathalia Krook sade att det var grönare på Kiala än i Helsingfors.","1","9"
"1992","Vad sysselsätter sig Ellen Edelfelt med nu när Rosina Zilliacus inte är där hemma?","1","10"
"1993","Edelfelt ber hälsa Lillan (Annie Edelfelt) och alla andra.","1","11"
"1994","Henrik Åkerman är förlovad med fröken Alina Othman.","1","12"
"1995","Alexandra Edelfelt och Carl Albert Edelfelt har varit på resa; de har besökt Åbo och Stockholm.","2",""
"1996","Löjtnant Sahlstén och herr Zwickert har varit på Kiala för att jaga; Edelfelt var för första gången på jakt ""riktigt med bössa""; han sköt en trast och en ""sparvhök"" som visade sig vara en till trast.","2",""
"1997","Alma Alléen och tante Gustafva Pomell är på Kiala.","2",""
"1998","På Kiala är den ena dagen den andra lik; de har rott drag på ån men inte fått någon fångst.","2",""
"1999","Lillan (Annie Edelfelt) sover i det fina vädret; hon kallas Sanni.","2",""
"2000","De ska åka till ""biskopens"", och på lördag ska tante Gustafva Pomell bjuda på kaffe på Borgbacken.","2",""
"2001","Carl Albert Edelfelt väntas komma för att hämta sina barn om ett par dagar.","2",""
"2002","Ellen Edelfelt och Lillan (Annie) sänder sina hälsningar.","2",""
"2003","Morbror Gustaf Brandt tycker att det svenska soldatklädet passar utmärkt till skol- och vinterkläder; vad anser Alexandra Edelfelt?","2",""
"2004","Edelfelt ber Alexandra Edelfelt hälsa tante Adelaide Leuhusen och Gustaf, Alexander, och Reinhold Leuhusen, hennes söner.","2",""
"2005","Det är härligt försommarväder i Dalsbruk; på Helsingfors ""kvalmiga"" gator märktes sällan ""naturens återuppvaknande"" lika tydligt.","3","2"
"2006","Edelfelt beskiver ångbåtsfärden med kapten Albert Rydell på ”Amiral von Platen” från Helsingfors till Ekenäs; en skeppare hade glömt att stiga av båten i Helsingfors och släpptes i stället av vid Porkala lotsstation; Edelfelt hade däckplats och satt uppe under natten med andra studenter, de underhöll sig med studentsång; kvinnorna sov på akterdäck; ingen mat serverades under natten.","3","3"
"2007","Edelfelt har stigit av båten i Ekenäs och sovit ut på ett gästgiveri; han hann inte bese staden.","3","4"
"2008","Hela Fornminnesföreningens expedition samlades i Dalsbruk.","3","6"
"2009","Magister Karl Hårdh (fru Ramsays kusin) har ordnat sovplatster hos familjen Ramsay i Dalsbruk; fru Emmy Ramsay har tillsammans med unge herr Wolter Ramsay och magistern bjudit på middag; brukspatronen var inte på plats, han var på resa till Stockholm; fru Ramsay är svenska och kommer från Dalarna; hon kom ihåg att fadern Carl Albert Edelfelt har besökt Dalsbruk; Edelfelt gjorde också bekantskap med de äldsta döttrarna i familjen Ramsay, Sofia och Charlotte, varav den äldre sades vara förlovad med doktor Otto Stenbäck; hans fördomar om att fröknarna var ""föga tillgängliga och möjligen något enfaldiga"" kom på skam då de senare på kvällen i konversationen kom in på historiska ämnen, som fröken Rudenskiöld, Axel von Fersen och Anjalaförbundet.  ","3","7"
"2010","Familjen Ramsay ordnade skjuts för en utfärd till Dragsfjärds kapellkyrka, där en orgel som sades härstamma från Nådendals kloster var det mest intressanta de stötte på; de kunde inte uträtta mycket då Emil Nervander inte var med.","3","8"
"2011","Wolter Ramsay d.y. har förevisat masugnen för Edelfelt.","3","9"
"2013","Edelfelt följde på söndagen med större delen av familjen Ramsay till kyrkan; han ville vara med om en gudstjänst på landsbygden, i synnerhet då prästen var en god predikant och ""hedbergian"" från Kimito; inflytandet från väckelseledaren Fredrik Gabriel Hedberg är stort i trakten; Edelfelt hade för avsikt att efter gudstjänsten stanna i kyrkan för att med Wolter Ramsay d.y. teckna av ett krucifix; under tiden hade brukspatron Ramsay återvänt från sin resa; Edelfelts intryck av brukspatron var att denne var ""glad och toujours"", han gjorde sig inte märkvärdig. ","3","10"
"2014","Emil Nervander har anlänt till Dalsbruk och fröken Sofia Ramsay har på ett utmärkt sätt försett honom med upplysningar om alla gods i Kimito socken.","3","11"
"2015","Fru Emmy Ramsays och hennes barns utpräglat svenska uttal påminde Edelfelt om hans dröm om att nästa sommar få resa till Sverige.","3","12"
"2016","Fröknarna Sofia och Charlotte Ramsay anslöt sig på Emil Nervanders förslag till expeditionen på deras utflykt till Västanfjärds kyrka, dit de åkte vattenvägen med en segelbåt; efter att de undersökt och tecknat den ""ytterligt tarvliga kyrkan"" åt sällskapet middag på en bondgård i närheten; magister Karl Hårdh agerade än en gång ""rolighetsminister""; gladlyntheten nådde sin höjdpunkt då risgrynsgröten serverades i tvättfat.","3","15"
"2017","Edelfelt och arkitekt Karl Westling återvände till kyrkan, medan övriga sällskapet med Emil Nervander och Jonathan Collander gick till pastorn.","3","16"
"2018","Edelfelt fortsatte det avbrutna brevet på Kimito gästgiveri.","3","5"
"2019","Edelfelt och de övriga i Fornminnesföreningens expedition har med ångfartyget 'Grefve Berg' lämnat Åbo, med sikte på Degerby, för att sedan fortsätta till Mariehamn; fartyget har på grund av dimma fått lov att ankra på Slottsfjärden, strax utanför Aura ås mynning; klockan sex på morgonen konstaterade Edelfelt att däckspassagerarna inte sovit en blund på hela natten, inte på grund av vädret utan på grund av det muntra sällskapet.","4","2"
"2020","Expeditionen har utökats med magistrarna Eliel Aspelin och Ernst Lilius; Odo Reuter skall följa med till Åland.","4","3"
"2021","Fritz Arlberg lär finnas med på båten; Edelfelt har inte träffat honom.","4","4"
"2022","På båten har Edelfelt träffat Wille (Wilhelm) Cadenius som i Åbo umgåtts ""avec son ami"" [med sin vän] Leo Mechelin, och nu var på väg till Stockholm för att roa sig.","4","5"
"2023","Folk har börjat vakna i hytterna och kommit ut på däck; expeditionsmedlemmarna hade räknat med att tidigt stiga i land och inte behöva ""exponeras"" för ångbåtspublikens blickar; Edelfelt var klädd i sin arbetsdräkt, som bl.a. bestod av gamla grå ""permissioner"", byxor, som en sockenskräddare i Pargas hade lappat åt honom.","4","6"
"2024","Edelfelt fortsatte brevet tre dagar senare, den 6 juli, från Lemlands kyrkoby. ","4","7"
"2025","Edelfelt har varit i Degerby och Mariehamn med Carl Albert Edelfelt 1868.","4","9"
"2026","Det åländska folkets ""karaktär"", folkets ”egendomlighet”, avspeglas i deras yttre och Edelfelt skulle vilja göra skisser.","4","10"
"2027","Emil Nervander skulle utförligt skriva om expeditionen i Hufvudstadsbladet.","4","11"
"2028","Konstverken av Gustaf W. Finnberg i Kimito kyrka var av stort intresse; Edelfelt stannade ett dygn extra för att teckna av dem. ","4","13"
"2029","Edelfelt hade på middagen träffat två unga fröknar Wrede från Storvik, Hedvig och Karin, vilka gick i skriftskola hos Fredrik Gabriel Hedberg; deras mor Hedvig Wrede var född Armfelt; Odo Reuter som kände fröknarna närmare hade försäkrat att de var glada och livade bara man lärde känna dem.","4","15"
"2030","Den fortsatt ""emabla"", älskvärda, kyrkoherden Hedberg bjöd hem Edelfelt på middag.","4","14"
"2031","Edelfelt återförenades med expeditionen i Sagu, där de redan träffat den ""ointresserade, gamla, döva och taktlösa"" prosten och student Reinhold Hausen hade fotograferat och beskrivit kyrkan på orten.","4","16"
"2032","Expeditionen hade misstagit sig på dagen för midsommaraftonen; Emil Nervander skall skriva i tidningen om det improviserade firandet; de hade utbringat skålar och sjungit; de hade till och med ställt till dans i socknen. ","4","17"
"2033","Befolkningen i Sagu liknade invånarna i andra finskspråkiga kustsocknar.","4","18"
"2034","På midsommardagen hade expeditionen fortsatt till Pargas; de var speciellt intresserade av att besöka Qvidja; deras värd, löjtnant Wolmar af Heurlin, befann sig hos herrskapet Hellens på Röfvarnäs, när de anlände.","4","19"
"2035","De besökte gudstjänsten i Pargas kyrka och uppvaktade ärkebiskop Edvard Bergenheim som särskilt vänligt tog emot Emil Nervander; biskopen kände Carl Albert Edelfelt, de hade senast träffats i Paris; de fick också träffa biskopens döttrar, som tillsammans med biskopen följde med expeditionen på utfärd; Edelfelt tyckte att biskopen liknade Kothen.","4","20"
"2036","Possessionat [ägare av större lantegendom] Robert Hedenberg, make till en av döttrarna Bergenheim, följde med till Qvidja, där det blev ett ""hiskeligt pokulerande"", dryckeslag.","4","21"
"2037","De besökte Karuna kapellkyrka, där de hittade en tavla av stort konstvärde; tavlan föreställde Madonnan, Elisabeth, Johannes och Sankta Catharina i grupp, den var av den venetianska skolan, möjligen efter Paolo Veronese.","4","22"
"2038","Eliel Aspelin och Ernst Lilius hade tillbringat midsommaren hos Reuters på Lofsdal och Kappellstrand; Edelfelt tyckte mycket om Aspelin; han hade med tiden också upptäckt drag som förmildrade Lilius avskräckande yttre.","4","23"
"2039","De undersökte noggrant Flemingska borgen på Qvidja.","4","24"
"2040","De hade det trevligt i Pargas kyrkoby, även kallad Magerstan; de fick utveckla sin egen förmåga att ordna det trevligt för sig; ortens pastor, Johan Fogelberg, bjöd dem hem till sig.","4","25"
"2041","Edelfelts plan att resa till fröknarna Falck gick om intet.","4","26"
"2042","Pargas kyrka var intressant; där var den gotiska stilen som renast.","4","27"
"2043","Expeditionen landsteg på Röfvarholmen på vägen till Kakskerta; altartavlan i Kakskerta kyrka var troligen av Gustaf W. Finnberg; det fanns inte sängplatser i torpet där de åt middag; de sov i en lada.","4","28"
"2044","Solen tittade fram då de anlände till Åbo; på Societetshuset bytte de om till sina bästa kläder och gick sedan till Rättikan för att äta; Alexandra Edelfelts brev hade anlänt till postkontoret; i Åbo domkyrka beundrade Edelfelt Wladimir Schvertskoffs ”mästerliga, storartade glasmålning""; i hans innersta viskade Correggios ord: ""också jag är målare""; känslan har han därefter inte kunnat ""räisonnera"" bort.","4","29"
"2045","Expeditionen strövade omkring på Runsala; Edelfelt kom i en dispyt i språkfrågan med Emil Nervander.","4","30"
"2046","Sällskapet blev inbjudet till en tillställning med dans som gavs av herr William Crickton, med anledning av det ryska kronoångfartyget Rurik som han hade byggt; flera av Åbo stads mest inflytelserika personer var bjudna, många av dem kände fadern Carl Albert Edelfelt; Edelfelt talade med greve Carl Creutz, kommerseråd Erik Julin, borgmästare Herman Höckert; han dansade med två fröknar Cedercreutz, Alfhild och Louise, döttrar till friherrinnan Emelie Cedercreutz, född Masachin [Morsing]; den äldre fröken, Alfhild Cedercreutz, var förlovad med befälhavaren på Rurik, Konstantin Bojil [Boyle] ; friherrinnan har dansat många gånger med Carl Albert Edelfelt; Edelfelt gjorde även bekantskap med fröknarna Annat, Matilda och Augusta, samt grevinnan Hortense Creutz, som bad honom hälsa till Alexandra Edelfelt; Crickton bjöd sällskpet avslutningsvis till Rättikan och följande dag på lustfärd kring Runsala, vilken inte blev av.","4","31"
"2047","Edelfelt träffade Atte Alléen, som vill ge upp sina studier, satsa på sången och gå in vid Operan i Stockholm; denne ville att Edelfelt skulle följa med och hälsa på systern Alma, men besöket blev inte av.","4","32"
"2049","Edelfelt sökte upp John Lillja; han liksom ""gubben"", fadern Johan Lilja, var hyggliga.","4","33"
"2050","Sällskapet gjorde skyldighetsvisiter hos Carl Creutz och Robert Wilhelm Ekman.","4","34"
"2051","Edelfelt tycker mycket om Odo Reuter som följt med dem till Mariehamn; Reuter har också varit Edelfelts försvurna då språkfrågan har lett till häftig ordväxling bland expeditionens medlemmar. ","4","35"
"2052","Edelfelt har återupptagit brevskrivandet efter att de anlänt till Jomala prästgård; det var svårt att koncentrera sig bland allt stoj; därtill avbröts skrivandet av att prosten bjöd Edelfelt på ett glas punsch.","4","36"
"2053","Expeditionen har sökt sig från Lemland till Jomala för att bevista ett stort bondbröllop, Edelfelt beskrev bröllopet och bruden.","4","38"
"2054","Max Schultén vistades på Jomala och tänkte göra en avstickare till Sverige.","4","39"
"2055","Deras svenska följeslagare Nils Mandelgren anlände en vecka i förtid; Mandelgren var intresserad av fornforskning och verkade hygglig; hans breda kontaktnät i Sverige gjorde sig påmint då han hälsade från Edelfelts faster Hermanine Edelfelt och herrskapet Lidman; Alice Lidman skulle snart gifta sig.","4","40"
"2056","Hälsa morbror Gustaf Brandt, och moster – särskilt från de ställen i hennes hemtrakter som Edelfelt passerat; hälsa Ellen, Anni och Bastuli (Berta) Edelfelt.","4","41"
"2057","Motto: tyst, tala aldrig om’et”.","5","2"
"2058","Edelfelt har tillsammans med Reinhold Fabritius och Jonathan Collander rest från Eckerö till ""gamla goda Svealand"", Sverige, utan att kanslern och universitet har utfärdat pass till expeditionsmedlemmarna; Odo Reuter var den som mest agiterat för resan, slutligen har de lyckats vinna Nils Mandelgren och Emil Nervander för saken; de har fått hjälp av pastor Karl Moliis, som gjorde dem sällskap då expeditionen undersökte Eckerö kyrka; tillsammans med Mandelgren har pastorn talat med tullförvaltaren, som skulle vara en ""raissonabel mand""; tullförvaltaren hade meddelat att de riskerade en bot på 400 mk; före de fortsatte resan till Geta och Saltvik, gjorde de ett sista försök; en bonde gick med på att som kapten ta dem som besättning över till Sverige; pastorn utfärdade ""prestbevis"" på att sällskapet var sjömännen R. Wilhelmson, A. Carlsson (Edelfelt) och J. Carlsson; tullförvaltaren gav dem sjöpass och avrådde liksom Nervander och Mandelgren dem från att uppträda som studenter; Ernst Lilius lånade Edelfelt en mera passande hatt; Odo Reuter förvägrades prästbevis i och med att han för en tid varit relegerad från universitetet.","5","3"
"2059","De åkte över Ålands hav i en liten öppen båt; färden gick snabbt, knappt hade ”Suloinen Suomenmaa”, Finland, försvunnit innan ”Sveas älskade strand”, Sverige, syntes i fjärran; de stämde upp ett dånande: hurrah!","5","4"
"2060","Efter en färd på fem timmar seglade de in i Grisslehamn; på tulltjänstemännens förfrågan angav de att de kom från Åland, var sjömän och ""mekanici"" [mekaniker/ingenjör] till yrket; det var stort ""kalas"" i Grisslehamn; två uppsaliensare Kolmodin tittade frågande på dem; det tog dem emot att inte få presentera sig som finska studenter.","5","5"
"2061","Resesällskapet missade ångbåten som trafikerade mellan Gävle och Stockholm, i stället fick de ta landvägen till Norrtälje, som var fyllt av badgäster. ","5","6"
"2062","Ångbåtsfärden från Norrtälje till Stockholm var vacker, i synnerhet Furuviken, Djurgården, vyn över tornspirorna i Stockholm stad och gamla slottet.","5","7"
"2063","På Odo Reuters rekommendation tog de in hos fru Sandelin, som hyrde rum åt resande finländare.","5","8"
"2064","Resan kostade cirka 70 mark per person; Edelfelt hade fortfarande 320 mark kvar, av vilka 40 mark var ""Tilgmannska"".","5","9"
"2065","Första kvällen hade de träffat på två finländare, magistrarna Jonas Castrén och Eliel Aspelin; de blev bjudna på punsch och resonemang om fennomani; Edelfelt teg och tänkte ""på min hårda lott att sitta första gången i sitt lif i Stockholm och höra på fennomanska föreläsningar""; kvällen avslutades på ""Opris"", Operakällaren.","5","11"
"2066","Edelfelt hade följande dag stämt möte med Eliel Aspelin på Nationalmuseum; Aspelin presenterade dem för föreståndaren dr. Bror Emil Hildebrandt, som visade dem alla historiska samlingar, trots att muséet egentligen inte var öppet på lördagar.","5","12"
"2067","Edelfelt har gått omkring i staden med Reinhold Fabritius: slottet var vackrare än han kunnat tro, Riddarholmskyrkan var inte så storartad som han hade väntat; bland statyerna tyckte han mest om statyn av Gustav III, de andra var något konventionella, med undantag för Carl XII; Johan Peter Molins bältespännare [staty] tyckte han mycket om.","5","13"
"2068","Nils Mandelgren hade föresett dem med rekommendationer till ingenjör Per Emanuel Bergstrand, men adressen stämde inte.","5","14"
"2069","De har fått klara sig på egen hand; de enda bekanta var magistrarna Castrén och Aspelin, samt magistrarna Schauman.","5","15"
"2070","Edelfelt har på Nationalmuseum blivit bekant med danska studenter, bl.a. cand.theol. Pedersen och stud. Lübsewitz; de gick till Berns salong och Berzelii källare; deras färd fortsatte till Observatorium och till källaren Tre remmare på Norrmalm för att titta på Carl Michael Bellmans rum; på Djurgården fortsatte den finsk-danska förbrödningen med sångerna ""Det är ett yndigt land"", ""Kong Kristian"", ""Suomis sång"" och ""Vårt Land""; de danska studenterna kände till J.L. Runeberg och Zacharias Topelius; vid Bellmans byst på Hasselbacken höjde de leverop, och beslöt att dricka en flaska punsch vid Bellmanseken; ett regnoväder satte stopp för deras plan; kvällen avslutades med skålar för Finland, Danmark, Norden och den nordiska kvinnan i parken Strandparterren, där de också träffade på Reinhold Fabritius och Max Schauman; danskarna lovade att följande dag visa ""deres finske vaen"" Haga och några andra ställen utanför staden.","5","17"
"2071","Alexandra Edelfelt förstod hur Edelfelt med sina skandinaviska sympatier sett allt i Sverige; samma förståelse väntade inte då han skulle återförenas med resten av expeditionen, där den fennomanska uppfattningen var starkt repsresenterad. ","5","21"
