"2","","","","Italiensk kvinna i nationaldräkt med barn","","Målad vid akademin i Antwerpen vintern 1874","","","2760",""
"7","","","Skisser efter naturen","Landskapsstudier, Granbäck","","Landskapsstudier i närheten av Granbäck, Sverige sommaren 1872","","","2140",""
"8","12","Porträtt av Fredrika Snygg (""Tajta"")","","","Bröstbild i fas åt höger av en sittande, vithårig gumma med skarpa rynkor i ansiktet. Brun klänning och svart sidenschal med lilafärgat mönster. Gråbrun fond. 58 x 45. Sign: A. Et 1872. Målat i Helsingfors vårvintern 1872. Belönat med II premien vid Finska Konstföreningens dukattävlan 1872.","","","","2139;2807;2420;4037;6026;6002",""
"9","14","Porträtt av Friherrinnan Adelaide Leuhusen, f. Ahlberg","","","Dam med blåa ögon och mörkt, nästan svart hår, iklädd en ljus, gråblå sidenklänning med vit spetskrage; vid kragen ett diamantsmycke. Kring halsen ett smalt, svart sammetsband med en guldmedaljong. Bröstbild. 59 x 43 (oval) Målat på Granbäck invid Jönköping sommaren 1872.","","Olja","","2175;2231;2257;2269;2307",""
"10","","","Litet porträtt av tante Leuhusen","Förarbete till Porträtt av Friherrinnan Adelaide Leuhusen, f. Ahlberg","","Målat sommaren 1872 på Granbäck som förarbete till H14: Porträtt av Friherrinnan Adelaide Leuhusen, f. Ahlberg","","","2145",""
"11","","","Litet porträtt av doktor Mobeck","Porträtt av doktor Mobeck","","Målat sommaren 1872 på Granbäck, oklart om porträttet någonsin blivit fullbordat","","","2146",""
"12","15","Porträtt av Generalen, greve C. J. Adlercreutz (1757-1815)","","","Bröstbild vänd åt höger av en vithårig man med hög ansiktsfärg. Mörkblå generalsuniform med många ordenstecken och ljusblått Serafimerband över börstet. Ljusgrå fond. Rentoilerad. 75 x 62 cm. Signerad (otydligt): A. Edelfelt. På beställning av Borgmästaren C. M. Holm i Borgå målat i september på Gripsholm, efter C. V. Nordgrens där befintliga, 1846 utförda kopia av K. F. von Bredas original från 1815. En av Edelfelt senare utförd replik, målad på beställning av fabrikanten C. A. Lewin för Kiala.","","","","2147;2159;2170;2205;2232;2273;2279;2303;2305;2321;2330;2345;2352;2924;2176;16175;2311;2341;2349;2206;2258",""
"13","","","Studier","Landskapsstudier, Granbäck","","Landskapsstudier i Granbäcks omgivningar, utförda sommaren 1872","","","2157;2165",""
"14","","","","Porträtt av Gustaf Leuhusen","","Oklart om detta porträtt någonsin blev av.","","","2160",""
"15","","","","Utsikt från Granbäcks corps de logi","","Tecknad sommaren 1872 på Granbäck för Edelfelts morbror Gustaf Brandt","Teckning","","2179",""
