"kv12","101111ha006.jpg","A II 1405","HISTORIA; 1300-luku; Ruotsi; KIRJALLINEN AIHE; Topelius; Yhdeksän hopearahaa; KOHTAUS; kuningatar; Blanka Namurilainen; Mauno Liehakon puoliso; prinssi; Haakon; äiti ja lapsi; laulaminen; INTERIÖÖRI; linna;  karhuntalja; lipas; käsityö; kaappi","öljy kankaalle","öljy, kangas","97","76","","",""
"kv24","a0027600.jpg","A I 212","Aihe Kaarle herttuan ja Sigismundin välisestä sodasta 1597, jolloin Ebba Stenbock puolisonsa Klaus Flemingin kuoleman jälkeen oli luovuttanut Turun linnan herttualle, joka vihoissaan antoi avata Flemingin ruumisarkun ja tarttui kuollutta vastustajaansa partaan. ; HISTORIA; Ruotsi-Suomen historia; 1597; KOHTAUS; sargofagi; ruumis; Klaus Fleming; Kaarle herttua; herjaaminen; naiset; Ebba Stenbock, Flemingin leski; Sigrid Stålarm; linnanpalvelija; sotilaat; interiööri; Turun linna; vaakunakilpi; suruharso; krusifiksi","öljy kankaalle","öljy, kangas","157","202","","","159"
"kv25","a0027700.jpg","A I 213","MUOTOKUVA; nainen; vanhus; Tajta; palvelija; puolivartalo; pärekori; maisema; ruohikko; tupa; metsä; syyskesä","öljy kankaalle","öljy, kangas","83","61","","Finlands Nationalgalleri","372"
"kv29","a0028800.jpg","A I 217","KOHTAUS; kansankuvaus; naiset; vanhukset; väkijoukko; keskustelu; kansanpuvut; nyytti; kirkonmäki; kirkon kivijalka; Ruokolahti; Karjala; sunnuntai","öljy kankaalle","öljy, kangas","130","159","","Finlands Nationalgalleri","528"
"kv31","a0126700.jpg","A I 536","HENKILÖKUVA ; nainen ; Virginie ; polvikuva ; lepäävä ; kirja ; sohva ; silkkiverho ; tyyny ; huonekasvi","öljy kankaalle","öljy, kangas","81","100","","","89"
"kv32","a0126800.jpg","A I 537","HENKILÖKUVA; nainen; Thérèse Lainville; pariisitar; kokovartalo; sateenvarjo; interiööri; ateljee; sohva; tyyny; verho; Pariisi; naamio","öljy kankaalle","öljy, kangas","55","43","","Finlands Nationalgalleri","448"
"kv35","a0155000.jpg","A I 754:104","","tussilaveeraus. valkoiset korosteet","tussi ja valkoinen peiteväri, paperi","","","","",""
"kv36","a0155100.jpg","A I 754:105","","tussilaveeraus, valkoiset korosteet","tussi ja valkoinen peiteväri, paperi","","","","",""
"kv37","a0155400.jpg","A I 754:108","KIRJALLINEN AIHE; Runeberg; Vänrikki Stoolin tarinat; Porilaisten marssi; KOHTAUS; marssi; rumpalit; rummut; sotilaat, poltettu kylä","hiili, vesiväri ja guassi","hiili, vesiväri, guassi, paperi","","","","",""
"kv38","a0157000.jpg","A I 754:122","","","tussi ja valkoinen peiteväri, paperi","","","","",""
"kv39","a0164000.jpg","A I 754:185","","tussi ja valkoinen peiteväri","tussi, valkoinen peiteväri, paperi","","","","",""
"kv40","a0164600.jpg","A I 754:190","KIRJALLINEN AIHE; Runeberg; Vänrikki Stoolin tarinat; Kuormarenki-runo; KOHTAUS; kuormasto; hevoset; marssi; Spelt; kuorman päällä makaaminen; MAISEMA; tie; metsä; talvi","laveeraus (tekniikka), tussilaveeraus, valkoinen peiteväri","tussi, valkoinen peiteväri, paperi","","","","",""
"kv42","a0172300.jpg","A I 754:44","","","tussi, paperi","","","","",""
"kv43","a0174200.jpg","A I 754:10","","tussilaveeraus, valkoinen peiteväri","tussi ja valkoinen peiteväri, paperi","","","","",""
"kv44","a0174500.jpg","A I 754:63","","","tussi ja valkoinen peiteväri, paperi","","","","",""
"kv46","a0178001.jpg","A I 754:95","","vesiväri paperille","vesiväri, paperi","","","","",""
"kv47","a0178100.jpg","A I 754:96","","hiili paperille","hiili, paperi","","","","",""
"kv48","a0186400.jpg","A II 1048","FIGUURI; nainen; malli; polvikuva; alaston; lanneverho","öljy kankaalle","öljy, kangas","80","65","","","98"
"kv50","a0208900.jpg","A II 1303","KOHTAUS; jumalanpalvelus","lyijykynä","lyijykynä, paperi","23","26","","Finlands Nationalgalleri",""
"kv51","a0209300.jpg","A II 1307","MUOTOKUVA; nainen; vanhus; tuntematon; talonpoikaisnainen; istuva; polvikuva; kädet ristissä","tussi ja valkoinen peiteväri pahville","tussi, valkoinen peiteväri, pahvi","54","40","","Finlands Nationalgalleri",""
