"1","Viborg","stad","Finland","Södra Karelen","Viborg","Viborg","60.70402","28.762522","Avträddes till Sovjetunionen.","35847","13538;2975;3123;4025;17276;4678;4681;4707;4720;5922;5923;5938;5960",""
"3","Helsingfors","stad","Finland","Nyland","Helsingfors","Helsingfors","60.16709","24.943593","","","11;12;13;14;15;16;20;22;27;33;35;36;36;36;41;42;43;44;45;46;47;48;49;60;61;62;63;64;65;66;70;71;72;73;73;76;76;79;88;89;90;92;92;92;93;94;95;99;99;102;103;103;104;105;107;109;110;111;113;114;115;116;123;117;126;134;135;136;137;138;140;140;140;141;141;141;142;143;144;146;146;146;146;146;146;146;146;146;146;146;147;148;149;150;137;151;152;154;155;156;157;158;156;159;162;161;163;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;184;181;184;184;185;187;188;189;190;191;191;192;193;194;195;197;198;198;199;200;201;201;201;201;203;108;96;207;208;215;233;260;415;418;424;337;460;460;460;471;473;478;478;479;169;372;369;421;472;472;370;370;417;417;417;371;371;371;330;330;613;613;613;613;613;629;629;629;629;629;629;629;629;630;659;1991;2083;2277;2875;2887;2900;2917;2919;2944;2948;3006;3035;3063;3065;3320;3406;3441;3481;3694;3733;3782;3963;4106;11204;11205;11268;11374;11375;11377;11378;11380;11394;11469;11470;11696;11113;16041;16042;16044;16049;16055;16071;16083;16085;16086;16087;16088;11232;11418;11635;11634;11432;11596;12136;12175;12272;12415;12448;12810;12822;12844;12908;12988;13007;11095;11144;11672;12064;12202;12365;13093;13151;13210;13302;13333;13340;13384;13385;13386;13387;13409;13439;13452;13482;76;76;169;169;156;156;137;137;330;330;417;417;417;95;203;473;418;472;472;418;472;472;184;184;184;184;184;184;184;184;184;41;41;41;41;337;337;337;337;337;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;369;369;369;369;369;369;369;370;370;370;370;370;370;370;370;370;370;370;370;370;370;370;370;370;370;370;370;370;370;13623;13753;1506;13773;13833;13926;13927;14156;14162;14163;14164;14181;14182;14183;14203;14204;14205;14241;14242;14265;14266;2005;2006;2075;2086;2132;2139;2163;2296;2303;2330;2341;2345;2352;2364;2368;2374;16193;16203;2422;2441;2448;2449;2451;2458;16211;2480;2476;2507;2525;2576;2577;2593;2595;2626;2654;2655;2658;2672;2683;2439;2554;2614;2725;2909;2956;2957;2991;3016;3038;3056;3123;3140;3142;3221;3240;3249;3267;3279;3298;3380;3403;3547;3548;3633;3674;16929;3451;3672;3770;3769;3834;3842;3890;3904;3970;3992;3997;4006;4015;4065;4136;4163;4167;4171;4209;4176;4184;4187;4220;4232;4234;4240;4253;4289;4299;4318;17264;4385;4421;3879;17276;4478;4641;4846;4938;4944;4946;4961;4971;5003;5173;5211;5223;5253;5265;5271;5287;5313;5325;5391;5515;5517;5603;5608;5619;5626;17413;17414;17416;17418;17419;17421;17423;17424;17425;17420;17427;17429;17430;17431;17432;17433;17434;17435;17436;17438;17444;17445;17446;17450;17451;17458;17459;17477;17479;17486;17487;17488;17489;17491;17494;17498;17500;17506;17507;17510;17518;17533;17535;17536;17537;17541;17553;17555;17557;17563;17566;17569;17570;17571;17572;17573;17577;17579;17581;17582;17583;17585;17586;17594;17595;17604;17611;17613;17619;17624;17626;17628;17630;17637;17638;17639;17640;17645;17647;17648;17649;17650;17652;17654;17655;17659;17660;17670;17672;17674;17676;17678;17680;17681;17682;17684;17690;17692;17693;17695;17696;17697;17700;17704;17715;17724;5669;5679;5682;5770;5906;18344;5920;5944;5948;18345;6015;6078;6087",""
"8","Frankrike","land","Frankrike","","","","","","","","494;504;11304;11330;12451;12484;12486;12495;2978;11422;12626;12689;13093;13235;13236;13328;13617;14033;14239;14256;2375;2390;2397;2436;2515;2565;2568;2649;16226;16228;2698;2722;2812;2835;16268;2905;2909;2994;2996;3028;3059;3111;3142;3169;3177;3182;3224;3240;3274;3282;3302;3372;3436;3612;3637;3729;3303;3665;3770;3791;3910;4019;4075;4082;4084;4102;17151;4124;4198;4185;4263;4266;4293;4297;4340;4363;4370;4390;4703;4787;4800;4826;5237;5238;5255;5288;5396;17870;5734;5768;5810;5825;5835;5861;5873",""
"11","Finland","land","Finland","","","","","","","","3075;3332;3407;3428;3430;3453;3852;11336;12156;12517;12524;12675;12746;12749;12786;12794;2395;2423;2586;2812;2825;2890;8618;11154;11268;11340;12859;12875;12876;12881;12885;12995;13020;13046;13056;11102;11269;11596;11628;12017;12441;12506;12525;12626;12747;13093;13120;13129;13132;13234;13344;13374;13436;13464;13538;13540;13537;13562;13563;13657;13690;13736;13739;13745;13747;13765;13771;13894;14175;14237;14239;2059;2070;2095;2163;16175;2171;2315;2362;2375;2099;2412;2420;16220;2655;2454;2850;3008;3035;3123;3160;3212;3223;3240;3246;3304;3358;3374;3612;3699;3712;3727;2967;3658;3674;3690;3808;3818;3890;3898;4049;17145;4083;4122;17153;4178;4189;4261;4291;4352;4363;4371;4392;4412;4414;4469;4324;4334;17280;4520;4480;17326;4630;4642;4647;4671;3196;4747;4769;4843;4944;4949;17280;4520;4968;4980;4988;5044;5237;5271;5294;5313;5405;5485;5532;5577;5607;17548;5654;5669;5679;5689;5705;5711;5718;5720;5759;5772;5794;5826;5827;5890;5906;5908;5962;5981;5982;5992;6017;6016;5324;6080;6088;5016",""
"22","Paris","stad","Frankrike","","","Paris","48.856431","2.351523","","67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;219;220;221;222;223;224;225;226;227;228;229;230;231;232;233;234;235;237;238;239;240;241;242;243;244;245;246;249;250;251;252;253;255;257;258;259;260;264;265;266;267;268;269;272;273;274;276;277;278;279;280;286;287;289;290;291;292;293;294;295;296;300;301;302;303;304;305;306;308;309;310;311;312;313;314;316;318;319;320;321;322;323;324;325;326;327;328;329;330;332;333;334;335;339;342;343;344;345;346;347;348;349;350;351;352;353;354;355;356;357;359;360;361;362;366;367;368;369;370;371;372;373;374;375;377;381;382;385;387;388;389;390;391;392;393;394;395;396;398;399;412;413;414;415;416;417;418;419;420;423;425;427;428;429;430;431;432;434;435;437;438;439;440;442;443;444;445;446;447;448;449;450;451;452;453;455;456;457;459;460;461;462;464;471;481;16696;16703;16704;16705;16707;16709;16724;16725;16727;16779;16780;16781;16784;16785;16787;16788;16790;16791;16792;16794;16796;16798;16800;16801;16804;16806;16807;16808;16809;16820;16821;16822;16823;16824;16825;16828;35272;35274;35276;35277;35278;35283;35284;35285;35286;35287;35288;35289;35292;35293;35294;35298;35322;35323;35324;35325;35326;35328;35329;35330;35332;35333;35335;35339;35340;35341;35342;35345;35347;35351;35353;35361;35366;35367;35368;35369;35371;35372;35373;35374;35375;35376;35378;35379;35380;35381;35382;35383;35384;35385;35386;35391;35392;35393;35394;35395;35397;35398;35399;35402;35403;35405;35407;35408;35409;35421;35422;35423;35424;35425;35426;35428;35429;35430;35431;35432;35433;35434;35435;35436;35439;35440;35441;35442;35447;35448;35449;35450;35451;35452;35453;35454;35455;35457;35458;35461;35462;35463;35464;35465;35466;35467;35468;35469;35470;35471;35472;35473;35474;35475;35476;35477;35478;35480;35481;35482;35483;35484;35486;35487;35491;35492;35493;35494;35495;35496;35497;35498;35499;35502;35503;35504;35505;35506;35507;35508;35509;35510;35511;35512;35513;35514;35515;35516;35517;35518;35519;35520;35527;35528;35529;35530;35531;35532;35549;35550;35551;35553;35554;35555;35560;35561;35562;35563;35564;35565;35577;35578;35579;35580;35585;35586;35591;35594;35595;35596;35598;35601;35604;35606;35607;35608;35609;35611;35651;35652;35654;35655;35657;35658;35659;35660;35661;35662;35663;35665;35666;35668;35669;35670;35671;35686;35697;35699;35700;35701;35702;35703;35707;35708;35710;35711;35712;35743;35764;35765;35766;35767;35768;35769;35770;35771;35772;35773;35775;35776;35777;35779;35780;35782;35784;35785;35786;35787;35788;35789;35790;35791;35792;35793;35794;35795;35796;35797;35798;35800;35802;35803;35804;35805;35827;35828;35829;35830;35831;35832;35833;35834;35835;35851;35854;35855;35856;35857;35859;35860;35861;35866;35871;35872;35876;35877;35878;35879;35880;35881;35882;35890;35891;35892;35894;35896;35898;35899;35900;35901;35903;35904;35905;35906;35907;35908;35909;35910;35911;35913;35914;35915;35916;35917;35918;35920;35922;35925;35926;35927;35928;35929;35930;35931;35932;35933;35935;35936;35937;35938;35939;35940;35953","365;366;2745;2764;2790;2860;2865;2867;2915;2975;2983;3010;3013;3016;3023;3024;3031;3036;11240;1388;11405;1395;11727;11730;11107;16060;11244;11257;11277;9654;9655;11515;11633;11639;11685;11693;11696;11722;11746;11736;11288;11287;11432;11758;11759;11763;11838;11839;11902;12025;12026;12027;12028;12029;12111;12211;12272;12286;12314;12317;12340;12363;12367;12368;12371;12378;12379;12398;12415;12485;12517;12541;12566;12572;12580;12691;12702;12722;12730;12737;12739;12749;1455;1456;12781;12811;12815;12821;12822;16129;12865;12886;12896;12908;12967;12970;12973;12978;12980;12981;12988;12995;12996;13003;13007;12994;13016;13042;13056;13067;1474;11254;11428;11444;11470;11504;11525;11551;11553;11565;11604;11649;1422;12090;1424;12101;12126;1428;12172;1429;1430;12259;12434;1445;13091;13093;13122;13129;1477;1478;13159;13169;13194;13213;13217;13240;13254;13286;13298;13300;13322;13326;13327;13346;13376;13445;13469;13483;13515;13516;16137;13542;13545;1497;13568;13592;13607;13617;13620;13622;13623;13652;13650;13651;13652;13690;13691;13708;13716;1503;13733;13735;13736;13739;13724;13746;13747;13750;13804;13806;13807;13809;13810;13821;13822;13826;13833;13848;13850;13931;13936;13982;1518;13996;14000;14010;14015;14016;1519;14029;14044;14060;14066;14069;14084;14087;14103;14147;14149;14155;14156;14160;14168;14198;14199;14200;14201;14226;14227;14230;14231;14237;14243;14250;14257;14258;2280;2255;2397;2565;2586;2591;2643;2644;16228;2551;2721;2722;2770;2771;2800;2818;2836;2838;2873;2890;2902;2916;2925;2949;2953;2960;2971;2994;3003;3012;3020;3021;3038;3042;3043;3045;3047;3055;3058;3060;3061;3062;3063;3069;3070;3072;3082;3081;3087;3094;3104;3107;3126;3127;3137;16667;3143;3158;3160;3150;3168;3169;3173;3185;3212;3215;3223;3229;3232;3234;3240;3245;3266;3273;3279;3294;3298;3304;3322;3332;3318;3341;3351;3343;3357;3360;3361;3364;3365;3367;3369;3401;3402;3406;3414;3417;3420;3421;3423;3432;3436;3441;3444;3475;3493;3498;3508;3507;3510;3517;3520;3538;3559;3561;3567;3571;3593;3612;3626;16927;3631;3640;3656;3658;3686;3692;3691;3710;3729;3738;3037;3051;3078;3147;3603;3747;3748;3754;16935;3758;3761;3805;3806;3816;3826;3830;3841;3844;3849;3850;3855;3858;3865;3869;3874;3899;3902;3913;3934;3945;3972;3975;3981;3987;4031;4047;4054;4076;4079;4083;4084;4122;4127;4140;4150;4156;4162;17156;4194;4198;4207;17158;4189;17160;4223;4227;4240;4241;4273;4280;4287;4293;4299;4317;4318;4344;4367;17262;4388;4397;4398;4399;4400;4414;4418;4447;4449;4459;4467;4470;4060;17286;4523;4524;4479;4538;4540;4542;17332;17333;4633;4634;4684;4697;4782;4805;4825;4863;4918;4943;4578;4638;4961;4964;4973;4979;4987;17368;4994;5008;5034;5041;17374;5053;5075;5096;5114;5127;5147;5148;5177;5206;5222;5254;5282;5292;5295;5313;5319;5325;5376;5406;5413;5425;5443;5570;5589;5601;5602;5612;5623;17814;5640;5651;5654;5655;5663;5668;5675;5688;5693;5696;5698;5741;5763;5764;5767;5812;5813;18341;5814;5815;5850;5861;5890;5902;5910;5943;5955;5971;5979;5982;5988;6020;6048;6044;6057;6059;6061;6070;5709;5828;6051;6075",""
"24","Malmö","stad","Sverige","Skåne","","Malmö","","","","","13859;2282;2293;2294;4935;17758;17775;17783;17786;17802;17871;17886;17900;17927;18021;17875",""
"26","Moskva","stad","Ryssland","","","Moskva","55.755970","37.616897","","35817;35818;35819","338;3658;3852;11204;9657;11722;12062;12272;12012;338;338;338;16139;13954",""
"28","Sankt Petersburg","stad","Ryssland","","","Sankt Petersburg","59.934327","30.334885","Ryska: Санкт-Петербyрг; tidigare Leningrad, Petrograd","157;158;363;364;16730;16733;16734;16735;16736;16739;16740;16741;16742;16747;16748;16749;16754;16761;16764;16767;16769;16770;16774;16775;16810;16811;16812;16814;16815;16816;35301;35302;35303;35305;35306;35307;35308;35310;35311;35312;35313;35314;35315;35316;35317;35318;35319;35388;35389;35443;35444;35694;35755;35756;35757;35758;35806;35807;35808;35809;35810;35812;35813;35814;35815;35816;35826;35867","3103;11196;11204;11269;11232;11635;16093;16096;16099;11719;11722;16104;12062;12339;12386;12388;12393;12444;12516;16110;16111;16112;16114;16123;16122;16126;12838;12344;12474;13452;13474;16145;2446;2472;2624;2658;2976;3624;3658;3903;3943;4078;4313;17274;17275;17278;17281;17284;17301;4498;17370;5443;17980;5654;5850;6048",""
"31","Estland","land","Estland","","","","","","","","69;376;376;336;336;336;336;336;336;336;336;336;336;336;336;336;336;336;336;336;336;2375;4918",""
"43","Sverige","land","Sverige","","","","","","","","2015;2054;2058;2059;2280;3190;11189;11203;11154;11155;11169;12879;11547;12394;13150;13346;13411;2071;2095;2123;2147;2158;2178;2171;2239;2264;2315;2343;2400;2909;3267;3432;3573;3808;4082;4196;4181;4183;4247;4326;4334;4630;4921;4935;4768;4973;4980;4982;5044;5264;5377;5391;5435;5543;17857;17975;18005;5654;5693;5772;5810;5950;5981;5523",""
